ac_sink,sink_gender,sink_YOB,sink_race
d4bab754eeb2581ba69fb9bc6f6b57c7,F,1977,White
ce6cd5295abe8a327183a39338c1508f,F,1946,White
d11f1c4579561143d06f7c3608dedb45,F,1970,White
a6b4b55f3b9424c7b1b547b10a035eeb,F,1954,White
00ae8e7f1634156bce2eb179207c677b,F,1956,White
bb7d2fcf78330bab2cd38c9b003664bc,M,1964,White
468cbc97ab3e9679087fffaf61fa527c,F,1965,White
e282500cf7f2d83ee46186d2e6be32df,M,1955,White
203bf45006bf8d809b2108b674f7e353,F,1957,White
796bd76c2e65b2ec72f7aaa991c2178d,M,1962,White
cf710fddaebf0f3baac2cfdf19f2d454,M,1985,White
18b1a106841281c4ca84aca8b568cf46,F,1971,White
1badb332e6c59a0b06c75c4eb57421a3,F,1973,White
3edec59711ec9a1f8ec5b76673d2b537,M,1973,White
6fddc073ecfea515cdf73c90adc3cf9a,F,1977,Other
16c2aac97f13b14b0ebf13c4e9e3a2e0,F,1963,White
3033622e0ca985708a71ff421b87941a,F,1970,Unknown
ea367ffd99e81fff6b9d87479271349f,M,1976,White
88f3c501f0ec0933dbf64ee623a20ee7,M,1983,White
55073c8d748526036fa46d06d16b46f3,M,1966,Unknown
5aa22eab0e4f1208f94f06d4fed2b916,F,1971,White
65bcb480205654a9025a7e2cfb06da98,F,1964,White
1a26562bb195549729a6bcbc491158d1,F,1965,White
a27eec610749934e34e4a62da34dadde,F,1965,White
6b249115c6238cfd6fb31f7d65194bff,F,1962,Hispanic
0c98ee1312e85e4d507d6b90b91c2108,F,1947,White
39dd79a4f54e472e87fb4e8947d1f710,F,1972,White
ba47f7712754e1cd8874aa4a5277becf,M,1971,White
ab406c2c794fa4739f42b989aa22a35f,F,1956,White
a1c0d8010c820a9e7da50f2fd1d08bf6,F,1956,White
bf36f118619b8d62355d159bcb198f31,F,1973,White
c71e5ed083bc9469bc4228c94d4b286d,F,1960,White
71e38035eb0b4d0da091bc40e75cd6de,F,1981,White
89dcb7bdb8c840f905973310590a60e1,M,1975,White
9b85df0bdbb3bd764d990f30f91feb1f,F,1990,Hispanic
53d890265fc469df7df4af1462d17c87,F,1991,White
0eb4d1747c95f4ee62812f3b98aa7eb2,M,1971,White
7547a70ac57326e6572035660774643f,F,1990,White
408655434f79b1a3084157d7120b7c24,M,1936,White
06f67ae3b9e38cd245aac609725854ae,M,1970,Other
defb50cd548693d31b51ad571781fdb7,F,1955,White
139072d10903b52cad42604bcffd7494,M,1966,Unknown
c1e52a4e552b7ad7ee338238695f6850,F,1961,White
ff0bd3880cd1ae27973e981c5b1b8e79,F,1977,Black
24ec49d4ee4113c874901303f83bf7d8,F,1972,Hispanic
aa3f9080f674ddf5f1c515042024ff44,F,1948,White
9fcb748ff2e4bb9e42cfbd80c09f8a6f,F,1948,Unknown
bfc3768a924099aa114fec0275197b60,F,1962,White
77b03f7641fcfa0e6c5c3cb73d72062c,M,1982,White
a0f9ef3714b68791a48eaba47d6df4af,O,1963,Unknown
9542f4e03f6c7b6d95451a869015f6f7,F,1989,Other
6a35ab6b87311cddcbd995e53ce489ca,M,1976,White
f06fb499ab535602f49fcefe3fcf18ca,M,1973,White
dcc07711b7bd3cb17445441266fa4844,M,1965,White
26928b0c5fabfe836b2086f9f046a935,F,1976,White
b1664641dfa1a4b1f28c2c5e519d4aad,F,1951,Unknown
517c32cbcd3f4841b7ad4ca4f7a433e1,M,1965,White
5c0f6486c410ced3e6d791bacafea756,M,1983,White
085785c6e3fe5fa51118466768fdce7a,M,1972,White
6f67d475bdbd365b302cf94221c3c200,M,1975,White
0dd56ffc4fd4b6390bb68b1d90ea2205,M,1966,White
c1329f67c3895bca47e78084998d56ff,F,1968,White
8315c5c83a900632b394cfa46394cd6e,M,1959,White
39eef5d7737aa301b1f123678f4d7d1d,M,1958,Other
bd60c092039d44d7f3ae419a920a3a90,F,1987,White
de7972fbedefffbe29a6acaf7d32b733,F,1947,White
0e71c75d01952f36d27b059de70142bb,F,1963,White
b259a1ded8df0387d7a8345690e25279,F,1973,White
e8290b760193f88371045b8588def8e7,F,1964,White
7840aa36f52e5d474dd7f5b58fb8d877,F,1964,White
c19f2bfb7351d143da52406f755c0625,F,1967,Other
0c167a75b24b461461644e1d6c76c2fa,F,1961,White
fe2e33b52440e888d306587b3eef8a7c,F,1960,White
71408cfc03540a94b414cf93a1c00235,F,1956,White
d3b744b3ab5c8e1ee56ec91141e186ab,F,1960,Unknown
11148c43bb94f9f9582a43abc9e0e734,F,1969,White
c879c695a06aaeea73695390928d70f7,F,1961,White
71ec39ba9c6cfa8f533ed909831d2b28,M,1942,White
6cb58cbe840a0f65c3de5cf676c17712,M,1942,White
c1d7b2bf9324e3880665263e244f08df,O,1958,White
45526dd0959275190de467476666a83e,F,1957,White
a621ebaf802bdc0bdc4eb3bfadf47769,M,1956,White
df3effebee5b4f18e403602899850bd6,F,1963,White
ad5c4ddd7cbe346e95cd1ae31c13a470,F,1972,White
f6da304f5be082733023be243f37a72e,M,1955,White
f89a3742d7a1597f60c5bd43bd572a27,F,1951,Hispanic
f2325464b0a8558fad354a4072d0aa51,M,1955,White
e297bac3a796e6327d6dcffe8177f5d4,M,1964,Black
5f9e6cdbc35591df9761c462f7c5cf8a,F,1975,White
bfdd4f98b9f233894fee74989fbd6acf,M,1937,White
73124673a780f2ffe9797e2531edfac2,M,1981,White
db9b5a52fb71b304847facf8b0eefdc2,O,1977,White
d4bab754eeb2581ba69fb9bc6f6b57c7,F,1977,White
ce6cd5295abe8a327183a39338c1508f,F,1946,White
d11f1c4579561143d06f7c3608dedb45,F,1970,White
a6b4b55f3b9424c7b1b547b10a035eeb,F,1954,White
00ae8e7f1634156bce2eb179207c677b,F,1956,White
2d1c39deacd145583876265ebfa30577,F,1956,Unknown
5e031e3de9fe5631690e2e10368bddc4,F,1992,White
8c2a6135735ba6b588da4e1d98199f1a,F,1964,Other
82ae777ad65d3010a36cc57ab3702abf,F,1979,White
f4977c09e534eb1178131ae522bd6770,M,1981,White
222971dd2af74d230847d322298abbf3,F,1955,Unknown
bb91db975f03873e402f5bf45900db9a,F,1959,White
b3b1c24bfb9b8c449fb8122081ebf778,M,1969,White
c6c7e5d52ce879b4c8356b5b2f09957c,M,1977,White
a49cb381357bb7028d4cb6b4d7226959,F,1985,White
6320af8e648958acd9510af1366f3afb,F,1962,White
36f67377c72e163e6d1f977e2824897c,M,1952,White
d091aa71646f24b642bdc11e5c2dfdab,M,1940,Unknown
b810922b083ade9c31ede5f888392c18,F,1967,White
89c396552680f0f5c7353d47f0f309de,F,1987,Unknown
335fec80dc5090042017fd8f36c70493,F,1974,White
bca4bbca9c15b29072403e67bb65e619,M,1952,Unknown
238ccec86764654bdbc31bcc6c8535ab,F,1963,White
20daff40f9849fe8bac6a6770b81b7fc,F,1948,White
9bb6338acef33b3d0ce3c21303d97bd1,F,1965,White
c34929ef85653ac640c92aeb52e62088,F,1965,White
0097a1eed7925932a48e4c7f7e2203f4,M,1959,White
aae8e197babd0cfdd1e0410cede2f439,F,1958,White
f1d3a0716d2747cb6fcc081640486c4d,F,1965,White
83c73942af70312a61dc15f774673e85,M,1964,White
4f563e06a501ef5113e8c642cac8603f,M,1980,White
4fc61ab03996669aee7c0ee1b37dd0d2,M,1963,White
9170a22d13f31d079b816a8bf5ceda3b,M,1985,Unknown
534c60ffcde753c06048f49960e6c1dc,M,1962,Unknown
5624f7608850b51896874a325ac70edf,M,1952,Unknown
ec3f649968d330ab6ff71d9fec885b78,M,1967,White
f799e9da8598f5500b8d228e5ec952e4,F,1944,White
729a6fd634efee5c0b37a60eecf86e87,F,1936,Unknown
f33f389d03518f27b991b92a5e286bde,M,1936,White
9e118f299ac8552e75b92b02d8ae2f63,F,1937,White
3a9c479a6bbeae989edd28aee955846b,M,1947,White
b98de667daec89d410a1b4f9fed6823a,M,1945,Other
6b77254d28f1347f48a461dc8bf06b77,M,1947,White
7527933be24f191fa54aed08b9ccd2f1,F,1948,White
9e80bda8099262cf1cdbc2b97e1a449a,F,1955,White
7256c1e9511cded476a7e18a179e49c4,M,1970,White
c0b008dcbec61431a63e762f0858aae3,F,1946,Unknown
85293c205672f47c2aff332aec4ef5fa,M,1956,White
bcdc3851cd82232d2a5e382c2eb2218f,M,1972,White
0ac850c0188bf189f3a2234ed6f025dc,F,1956,White
c02a0c97eee0d37329116af46074a56e,F,1985,White
2fb9ba025b8d6831ed9b5aa4616040b2,F,1959,Unknown
e11e55e32e3e93d5277b4107cd9aa53c,M,1956,White
86c3dcf5354c61027499e644e4befb4e,M,1948,Unknown
bd71047e7f6efe6e27c07d8f154c44c5,M,1966,White
98426ed4cac8115fb6846f00067a23de,F,1981,White
02ecc37d6683fbf0a52e3e2fbcaf7c26,F,1978,White
e39a4bbdcd9f3ee47eed374762e04c88,M,1958,White
1a5343e19cfbb58a121f3d8aaa992ad3,M,1985,White
8fab46d5123cd906e72956399cc3bd4d,F,1975,White
8b6e8eddbdc87f75f5f7ae480da5103d,F,1952,White
6ca0069a0bb34155a207d620d5deac4b,M,1968,White
63614104cd99444654354a92362dccbe,M,1950,Unknown
3c16d1574a23c67b1790107c0121969f,M,1955,White
d30fc11ee4c26f4df48f89eb98fec6c9,F,1961,White
f441cf8f70d1cc03d8d03f720456c35b,M,1984,White
8f89f9247dca3f2dbb395a0de8ab5e02,M,1962,White
491397188eed3e55de49d9172eda18fa,F,1959,White
28c4557ed96f0f4f7d27a64af2261d92,M,1956,Unknown
77845baa629cb1e10f9fdb7786ea38e6,M,1953,White
ddfa0876b1562f15a9fbaaefb10747da,M,1957,White
61069e3d1c4981aede1048b400995639,M,1958,Unknown
405aeaf22157219e30cf9d39e65e4c8f,M,1963,Black
abda46ba6a1a51f2976c64d72afaccc8,M,1980,White
